time,open,high,low,close
1733932800,612.36,618.69,608.84,613.29
1733936400,613.71,619.82,601.34,601.89
1733940000,602.55,611.65,601.53,610.06
1733943600,609.74,610.78,607,609.55
1733947200,609.89,611.99,604.62,604.99
1733950800,604.4,606.3,602,604.09
1733954400,604.17,608.73,603.73,605.85
1733958000,606.02,607.62,599.25,600.65
1733961600,600.62,610.54,599.75,608.37
1733965200,608.58,621.04,607.85,614.34
1733968800,614.49,636.49,614.13,636
1733972400,635.66,645.04,630.35,635.55
1733976000,636.08,638.08,626,629.57
1733979600,629.73,635.74,625,626.79
1733983200,626.8,631.13,621.89,626.57
1733986800,626.77,633.06,624.04,625.27
1733990400,625.5,630.48,625.5,626.59
1733994000,626.97,630,619.38,621.02
1733997600,621.1,621.15,608.34,611.97
1734001200,610.6,612.91,604.54,607.71
1734004800,607.74,614.48,605.32,612.53
1734008400,613.13,622.04,601.22,608.32
1734012000,608.31,614.3,602.52,609.96
1734015600,609.95,611.79,600.74,606.47
1734019200,606.49,613.41,605,609.66
1734022800,609.77,614.94,608.61,613.92
1734026400,613.16,615.94,610.2,611.65
1734030000,611.51,613.79,584.13,586
1734033600,586.2,594.48,585.3,590.77
1734037200,590.75,592.48,582.03,582.79
1734040800,582.56,586.75,573.54,573.56
1734044400,573.55,580.52,572.25,575.7
1734048000,576.06,584.69,574.42,582.18
1734051600,581.77,581.87,567.5,575.72
1734055200,575.61,581.38,574.02,577.59
1734058800,577.61,581.37,574.47,579.86
1734062400,579.91,581.54,568,572.99
1734066000,573,575.93,570.84,573.87
1734069600,573.96,577.27,566,566.12
1734073200,566.11,572.69,562.5,570.39
1734076800,570.27,577.81,567.73,576.98
1734080400,577.01,580.16,569.22,571.93
1734084000,571.75,575.19,565.64,574.7
1734087600,574.68,579.9,572.95,574.07
1734091200,574.1,581.14,574.1,579.33
1734094800,579.49,580.27,571.02,577.2
1734098400,577.15,584.88,574.07,584.77
1734102000,584.85,588.67,572.45,573.79
1734105600,573.97,583.57,572.45,576.01
1734109200,576.03,578.22,569.06,573.73
1734112800,573.7,575.84,569,569.78
1734116400,569.85,574.96,568.5,574.82
1734120000,574.87,579.13,570.2,575.75
1734123600,576.08,576.99,571.74,573.42
1734127200,573.43,573.45,565,568.1
1734130800,567.09,578.28,567,578.08
1734134400,578.06,582.55,575,578.51
1734138000,578.32,587.75,578.17,582.99
1734141600,583.01,583.57,580,580.34
1734145200,580.5,581.22,571.5,574.1
1734148800,574.06,576.78,571.35,576.13
1734152400,575.96,581.34,575.22,580.7
1734156000,580.72,586.1,580.22,585.03
1734159600,585.02,586.87,579.05,581.64
1734163200,582.18,586.87,582.05,584.94
1734166800,584.96,586,582.05,583.67
1734170400,584.97,585,575.53,581.49
1734174000,581.22,583.61,578.5,579.12
1734177600,579.14,581.3,564,566
1734181200,566.05,569.66,555,560.65
1734184800,560.65,571.68,560.59,568.47
1734188400,568.51,570.49,565.05,566.36
1734192000,565.68,565.7,550.07,552.91
1734195600,552.99,554.01,540.01,541.88
1734199200,542.43,548.86,540.95,543.97
1734202800,543.46,547.3,540.38,545.57
